local_time,utc_time,elapsed_min,latitude,longitude,altitude_ft,course_deg,ground_speed_kt,bank_deg,pitch_deg,vertical_rate_fpm_30s,cumulative_distance_nm
2026-02-22 16:46:52 CST,2026-02-22T22:46:52Z,0.0,32.232,-98.202,2231.045,356.784,83.044,0.0,0.0,,0.0
2026-02-22 16:47:07 CST,2026-02-22T22:47:07Z,0.25,32.226,-98.202,2205.412,153.904,101.585,-4.509,2.662,,0.345
2026-02-22 16:47:22 CST,2026-02-22T22:47:22Z,0.5,32.22,-98.198,2248.455,154.448,106.296,2.382,1.802,34.82,0.782
2026-02-22 16:47:37 CST,2026-02-22T22:47:37Z,0.75,32.213,-98.194,2230.91,143.788,106.267,1.179,0.862,50.996,1.226
2026-02-22 16:47:52 CST,2026-02-22T22:47:52Z,1.0,32.207,-98.19,2217.71,150.503,105.466,1.202,1.582,-61.49,1.668
2026-02-22 16:48:07 CST,2026-02-22T22:48:07Z,1.25,32.2,-98.186,2225.448,153.071,96.489,-0.341,2.628,-10.924,2.099
2026-02-22 16:48:22 CST,2026-02-22T22:48:22Z,1.5,32.194,-98.183,2110.739,151.617,94.401,-1.774,0.414,-213.942,2.492
2026-02-22 16:48:37 CST,2026-02-22T22:48:37Z,1.75,32.19,-98.179,1981.559,98.3,84.278,-18.08,-0.142,-487.778,2.869
2026-02-22 16:48:52 CST,2026-02-22T22:48:52Z,2.0,32.191,-98.172,1841.73,58.25,74.516,0.819,3.461,-538.019,3.209
2026-02-22 16:49:07 CST,2026-02-22T22:49:07Z,2.25,32.194,-98.167,1707.835,34.643,70.519,-16.946,1.686,-547.448,3.507
2026-02-22 16:49:22 CST,2026-02-22T22:49:22Z,2.5,32.198,-98.166,1623.549,339.828,73.77,-9.742,3.23,-436.361,3.807
2026-02-22 16:49:37 CST,2026-02-22T22:49:37Z,2.75,32.203,-98.169,1545.465,324.238,75.152,-0.61,1.426,-324.741,4.118
2026-02-22 16:49:52 CST,2026-02-22T22:49:52Z,3.0,32.207,-98.172,1423.466,323.559,71.003,0.935,2.137,-400.167,4.426
